id,name,url,country,location,timezone,language,bundle,keywords
0,100Reporters,http://100r.org/,US,Washington,America/New_York,en,,"Home page for 100Reporters nonprofit news organization, reporting on corruption, government accountability and coronavirus-related power grabs."
1,Baahrakhari,https://baahrakhari.com/,NP,Kathmandu,Asia/Kathmandu,ne,,"Baahrakhari is an independent media house that believes in democracy, freedom and the rule of law."
2,14 East,http://fourteeneastmag.com/,US,Chicago,America/Chicago,en,illinois|chicago,No description available
3,19th,https://19thnews.org/,US,Austin,America/Chicago,en,feminist,"The 19th is an independent, nonprofit newsroom reporting at the intersection of gender, politics and policy."
4,1News,https://www.1news.co.nz/,NZ,Auckland,Pacific/Auckland,en,,"Latest News, 1News breaking news, in-depth analysis, political and economic news, business , sports, and entertainment and award-winning journalism from New Zealand’s most trusted news source, 1News"
5,20 Minutes,https://www.20minutes.fr/,FR,Paris,Europe/Paris,fr,,"Suivez l’actualité du jour sur 20 Minutes, média gratuit et indépendant. Politique, Sport, Culture, High Tech, Ecologie… Toute l’info en continu"
6,KMTV 3 News Now,https://www.3newsnow.com/,US,Omaha,America/Chicago,en,nebraska,"Omaha-metro area's source for news, traffic, weather, and sports on KMTV and 3NewsNow.com."
7,404 Media,https://www.404media.co/,US,San Francisco,America/Los_Angeles,en,tech,"404 Media is a new independent media company founded by technology journalists Jason Koebler, Emanuel Maiberg, Samantha Cole, and Joseph Cox."
8,41NBC / WMGT,https://www.41nbc.com,US,Macon,America/New_York,en,georgia,"Middle Georgia news, weather, sports, and everything you need to know in between!"
9,6abc,https://6abc.com/,US,Philadelphia,America/New_York,en,pennsylvania|philadelphia,"Action News and 6abc.com are Philadelphia's source for breaking news, weather and video, covering Philadelphia, Pa., NJ, and Delaware."
10,9to5Mac,https://9to5mac.com/,US,Cupertino,America/Los_Angeles,en,tech,Apple News & Mac Rumors Breaking All Day
11,ABC News,https://abcnews.go.com/,US,New York City,America/New_York,en,us-national,"Your trusted source for breaking news, analysis, exclusive interviews, headlines, and videos at ABCNews.com"
12,ABC15 Arizona,https://www.abc15.com/,US,Phoenix,America/Phoenix,en,arizona,"Arizona’s source for breaking news, weather, traffic and in-depth investigations from ABC15 Arizona in Phoenix."
