id,url,domain
7,https://google.co.in,in
89,https://amazon.in,in
270,https://irctc.co.in,in
319,https://blogspot.in,in
423,https://shink.in,in
447,https://incometaxindiaefiling.gov.in,in
469,https://uidai.gov.in,in
686,https://ebay.in,in
839,https://intoday.in,in
851,https://olx.in,in
931,https://airtel.in,in
1174,https://axisbank.co.in,in
1290,https://freebitco.in,in
1301,https://paytm.in,in
1336,https://indianrail.gov.in,in
1598,https://indeed.co.in,in
1746,https://rajasthan.gov.in,in
1762,https://proxyspotting.in,in
1781,https://marumaru.in,in
1821,https://gorillavid.in,in
1900,https://bsnl.in,in
1910,https://cleartax.in,in
1992,https://actcorp.in,in
2022,https://payu.in,in
2100,https://epfindia.gov.in,in
2104,https://citibank.co.in,in
2126,https://kerala.gov.in,in
2130,https://passportindia.gov.in,in
2185,https://kar.nic.in,in
2194,https://ap.gov.in,in
2196,https://himado.in,in
2197,https://abplive.in,in
2275,https://ibtimes.co.in,in
2401,https://tripadvisor.in,in
2414,https://gst.gov.in,in
2481,https://ssc.nic.in,in
2519,https://csc.gov.in,in
2567,https://du.ac.in,in
2664,https://cgg.gov.in,in
2758,https://glassdoor.co.in,in
2891,https://fssnet.co.in,in
2914,https://mylovestories.in,in
3195,https://up.nic.in,in
3350,https://indiapost.gov.in,in
3457,https://izito.co.in,in
3467,https://redbus.in,in
3542,https://upsc.gov.in,in
3552,https://tdscpc.gov.in,in
3570,https://tn.gov.in,in
3590,https://gujarat.gov.in,in
3652,https://ssconline.nic.in,in
3668,https://gsurl.in,in
3742,https://maharashtra.gov.in,in
3843,https://vodafone.in,in
3846,https://sbi.co.in,in
3851,https://resultuniraj.co.in,in
3897,https://dtemaharashtra.gov.in,in
3928,https://phoenixads.co.in,in
3995,https://mponline.gov.in,in
4017,https://tpsl-india.in,in
4165,https://idbibank.co.in,in
4197,https://nptel.ac.in,in
4223,https://divyabhaskar.co.in,in
4236,https://onlinelic.in,in
4269,https://vidads.in,in
4302,https://afftracker.in,in
4308,https://downloadhub.in,in
4370,https://telangana.gov.in,in
4394,https://tikona.in,in
4422,https://goindigo.in,in
4477,https://freedoge.co.in,in
4481,https://mtsindia.in,in
4535,https://cbseresults.nic.in,in
4565,https://josaa.nic.in,in
4801,https://btdb.in,in
4824,https://filerio.in,in
4852,https://cbec.gov.in,in
5139,https://moonbit.co.in,in
5211,https://freecharge.in,in
5227,https://cbseneet.nic.in,in
5439,https://upsconline.nic.in,in
5467,https://gktoday.in,in
5468,https://licindia.in,in
5485,https://sportsguru.in,in
5525,https://joinindianarmy.nic.in,in
5534,https://bsnl.co.in,in
5548,https://karnataka.gov.in,in
5560,https://zapmeta.co.in,in
5614,https://24video.in,in
5659,https://mahaonline.gov.in,in
5662,https://hryssc.in,in
5719,https://iobnet.co.in,in
5832,https://appear.in,in
5884,https://nmk.co.in,in
5898,https://tn.nic.in,in
5925,https://grabon.in,in
5992,https://unionbankonline.co.in,in
6074,https://oneplusstore.in,in
6358,https://hdwallpapers.in,in
6374,https://ignou.ac.in,in
6490,https://mp.gov.in,in
6667,https://raj.nic.in,in
6706,https://mail.gov.in,in
6713,https://canarabank.in,in
6725,https://adsplay.in,in
6808,https://upbasiceduboard.gov.in,in
6809,https://daclips.in,in
6816,https://aflatoon420.blogspot.in,in
6859,https://digit.in,in
6880,https://wholesale-dress.co.in,in
6914,https://parivahan.gov.in,in
6933,https://mcc.nic.in,in
7000,https://indianbank.net.in,in
7057,https://isubtitles.in,in
7143,https://incometaxindia.gov.in,in
7186,https://indgovtjobs.in,in
7259,https://mygov.in,in
7308,https://playtamil.in,in
7316,https://iitb.ac.in,in
7379,https://aces.gov.in,in
7542,https://joinindiannavy.gov.in,in
7713,https://india.gov.in,in
7976,https://careerairforce.nic.in,in
7999,https://standardchartered.co.in,in
8054,https://businessinsider.in,in
8128,https://esic.in,in
8190,https://seriesonline.in,in
8213,https://tspsc.gov.in,in
8238,https://bgr.in,in
8334,https://airindia.in,in
8472,https://speakingtree.in,in
8508,https://bigrock.in,in
8512,https://ebs.in,in
8517,https://bajajfinserv.in,in
8654,https://iitg.ernet.in,in
8667,https://nearsale.in,in
8753,https://highquality.in,in
8758,https://cbse.nic.in,in
8775,https://thebase.in,in
8776,https://caknowledge.in,in
8875,https://dominos.co.in,in
8891,https://skytorrents.in,in
8894,https://mahadiscom.in,in
8903,https://rajnikantvscidjokes.in,in
8930,https://movpod.in,in
8953,https://tnpds.gov.in,in
9052,https://freelancer.in,in
9129,https://majhinaukri.in,in
9182,https://iitk.ac.in,in
9292,https://unipune.ac.in,in
9326,https://nvsp.in,in
9342,https://atomtech.in,in
9489,https://onlineandhrabank.net.in,in
9510,https://goodreturns.in,in
9528,https://logme.in,in
9710,https://ibps.in,in
9806,https://oploverz.in,in
9839,https://digimail.in,in
9857,https://delhi.gov.in,in
9858,https://nrega.nic.in,in
9943,https://bih.nic.in,in
10161,https://wbsedcl.in,in
10206,https://huffingtonpost.in,in
10320,https://lpu.in,in
10420,https://iitm.ac.in,in
10469,https://30nama9.in,in
10492,https://visionias.in,in
10497,https://iitkgp.ac.in,in
10499,https://yesbank.in,in
10549,https://scan-av.in,in
10593,https://online-life.in,in
10682,https://pib.nic.in,in
10706,https://samagra.gov.in,in
10786,https://vyapam.nic.in,in
10866,https://movies123.in,in
