id,url,name,description
225,https://google.pt,Google,
865,https://sapo.pt,SAPO - Última hora e notícias de hoje atualizadas ao minuto,"Atualidade, Saúde, Futebol, Finanças, Lifestyle, Famosos, Tecnologia, Local, Ambiente, Opinião, Jorn"
1466,https://abola.pt,A BOLA - Homepage | Abola.pt,"A BOLA, toda a informação desportiva. Acompanhe todas as notícias do seu clube ou modalidade preferi"
3128,https://olx.pt,Portugal Anúncios Classificados OLX,
3424,https://record.pt,"Record: Tudo sobre desporto. Futebol, mercado, modalidades, resultados e classificações","As grandes entrevistas, a melhor opinião e os conteúdos multimédia sobre futebol e todas as modalida"
5476,https://ojogo.pt,O Jogo,Jornal diário desportivo que segue toda a atualidade desportiva com independência e rigor jornalísti
5736,https://iol.pt,Notícias de hoje - IOL,"O portal com os conteúdos e marcas do grupo Media Capital (TVI, CNN, MaisFutebol, SELFIE, VERSA, AWA"
5862,https://publico.pt,PÚBLICO – Abrir portas onde se erguem muros,"Notícias, opinião plural, investigação, edição impressa, newsletters, jogos. Pense bem, pense PÚBLIC"
6834,https://cgd.pt,Caixa Geral de Depositos,
6916,https://jn.pt,Jornal de Notícias,O Jornal de Notícias é um título incontornável no panorama da imprensa portuguesa. No Jornal de Notí
7383,https://dn.pt,Diário de Notícias,"DN - o seu jornal diário online. Todas as notícias sobre a actualidade nacional, internacional, econ"
7412,https://cmjornal.pt,"Correio da Manhã: Portugal, Mundo, Sociedade, Cultura. Classificados.","As últimas notícias sobre Portugal e o Mundo. Cm ao minuto, sociedade, insólitos, desporto. Entrevis"
7582,https://pinterest.pt,Pinterest - Portugal,"Discover recipes, home ideas, style inspiration and other ideas to try."
7649,https://www.bwin.pt,Bwin,
8757,https://observador.pt,Observador,
9421,https://priberam.pt,Machine Learning and Natural Language Processing - Priberam,Priberam offers natural language processing and machine learning technologies to an extended portfol
9634,https://up.pt,Universidade do Porto,A Universidade do Porto é uma das melhores instituições de ensino público da Europa. É reconhecida p
9945,https://portaldasfinancas.gov.pt,Portal das Finanças,
10082,https://rtp.pt,RTP - Rádio e Televisão de Portugal,
10347,https://fnac.pt,Fnac.com,
10996,https://ulisboa.pt,ULisboa | Universidade de Lisboa,
11453,https://custojusto.pt,"CustoJusto Portugal | Anúncios grátis, classificados grátis.","Compre e venda grátis - Portugal. Anúncios grátis de carros usados, motas, casas, apartamentos, vest"
11539,https://millenniumbcp.pt,Millennium bcp | Melhor Banco digital de Portugal,"Descubra os produtos e serviços do Millennium para simplificar o seu dia a dia: contas, cartões, cré"
12239,https://www.zerozero.pt,Zero Zero,
